China 	1,415,045,928 	18.5 % 	9,388,211
69 	Ecuador 	16,863,425 	0.2 % 	248,360
70 	Senegal 	16,294,270 	0.2 % 	192,530
71 	Cambodia 	16,245,729 	0.2 % 	176,520
72 	Chad 	15,353,184 	0.2 % 	1,259,200
73 	Somalia 	15,181,925 	0.2 % 	627,340
74 	Guinea 	13,052,608 	0.2 % 	245,720
75 	South Sudan 	12,919,053 	0.2 % 	610,952
76 	Rwanda 	12,501,156 	0.2 % 	24,670
77 	Tunisia 	11,659,174 	0.2 % 	155,360
78 	Belgium 	11,498,519 	0.2 % 	30,280
79 	Cuba 	11,489,082 	0.2 % 	106,440
80 	Benin 	11,485,674 	0.2 % 	112,760
81 	Burundi 	11,216,450 	0.1 % 	25,680
82 	Bolivia 	11,215,674 	0.1 % 	1,083,300
83 	Greece 	11,142,161 	0.1 % 	128,900
84 	Haiti 	11,112,945 	0.1 % 	27,560
85 	Dominican Republic 	10,882,996 	0.1 % 	48,320
86 	Czech Republic 	10,625,250 	0.1 % 	77,240
87 	Portugal 	10,291,196 	0.1 % 	91,590
88 	Sweden 	9,982,709 	0.1 % 	410,340
89 	Azerbaijan 	9,923,914 	0.1 % 	82,658
90 	Jordan 	9,903,802 	0.1 % 	88,780
91 	Hungary 	9,688,847 	0.1 % 	90,530
92 	United Arab Emirates 	9,541,615 	0.1 % 	83,600
93 	Belarus 	9,452,113 	0.1 % 	202,910
94 	Honduras 	9,417,167 	0.1 % 	111,890
95 	Tajikistan 	9,107,211 	0.1 % 	139,960
96 	Serbia 	8,762,027 	0.1 % 	87,460
97 	Austria 	8,751,820 	0.1 % 	82,409
98 	Switzerland 	8,544,034 	0.1 % 	39,516
99 	Israel 	8,452,841 	0.1 % 	21,640
100 	Papua New Guinea 	8,418,346 	0.1 % 	452,860
101 	Togo 	7,990,926 	0.1 % 	54,390
102 	Sierra Leone 	7,719,729 	0.1 % 	72,180
103 	Bulgaria 	7,036,848 	0.1 % 	108,560
104 	Laos 	6,961,210 	0.1 % 	230,800
105 	Paraguay 	6,896,908 	0.1 % 	397,300
106 	Libya 	6,470,956 	0.1 % 	1,759,540
107 	El Salvador 	6,411,558 	0.1 % 	20,720
108 	Nicaragua 	6,284,757 	0.1 % 	120,340
109 	Kyrgyzstan 	6,132,932 	0.1 % 	191,800
110 	Lebanon 	6,093,509 	0.1 % 	10,230
111 	Turkmenistan 	5,851,466 	0.1 % 	469,930
112 	Singapore 	5,791,901 	0.1 % 	700
113 	Denmark 	5,754,356 	0.1 % 	42,430
114 	Finland 	5,542,517 	0.1 % 	303,890
115 	Slovakia 	5,449,816 	0.1 % 	48,088
116 	Congo 	5,399,895 	0.1 % 	341,500
117 	Norway 	5,353,363 	0.1 % 	365,268
118 	Eritrea 	5,187,948 	0.1 % 	101,000
119 	State of Palestine 	5,052,776 	0.1 % 	6,020
120 	Costa Rica 	4,953,199 	0.1 % 	51,060
121 	Liberia 	4,853,516 	0.1 % 	96,320
122 	Oman 	4,829,946 	0.1 % 	309,500
123 	Ireland 	4,803,748 	0.1 % 	68,890
124 	New Zealand 	4,749,598 	0.1 % 	263,310
125 	Central African Republic 	4,737,423 	0.1 % 	622,980
126 	Mauritania 	4,540,068 	0.1 % 	1,030,700
127 	Kuwait 	4,197,128 	0.1 % 	17,820
128 	Croatia 	4,164,783 	0.1 % 	55,960
129 	Panama 	4,162,618 	0.1 % 	74,340
130 	Moldova 	4,041,065 	0.1 % 	32,850
131 	Georgia 	3,907,131 	0.1 % 	69,490
132 	Bosnia & Herzegovina 	3,503,554 	0 % 	51,000
133 	Uruguay 	3,469,551 	0 % 	175,020
134 	Mongolia 	3,121,772 	0 % 	1,553,560
135 	Albania 	2,934,363 	0 % 	27,400
136 	Armenia 	2,934,152 	0 % 	28,470
137 	Jamaica 	2,898,677 	0 % 	10,830
138 	Lithuania 	2,876,475 	0 % 	62,674
139 	Qatar 	2,694,849 	0 % 	11,610
140 	Namibia 	2,587,801 	0 % 	823,290
141 	Botswana 	2,333,201 	0 % 	566,730
142 	Lesotho 	2,263,010 	0 % 	30,360
143 	Gambia 	2,163,765 	0 % 	10,120
144 	TFYR Macedonia 	2,085,051 	0 % 	25,220
145 	Slovenia 	2,081,260 	0 % 	20,140
146 	Gabon 	2,067,561 	0 % 	257,670
147 	Latvia 	1,929,938 	0 % 	62,200
148 	Guinea-Bissau 	1,907,268 	0 % 	28,120
149 	Bahrain 	1,566,993 	0 % 	760
150 	Swaziland 	1,391,385 	0 % 	17,200
151 	Trinidad and Tobago 	1,372,598 	0 % 	5,130
152 	Timor-Leste 	1,324,094 	0 % 	14,870
153 	Equatorial Guinea 	1,313,894 	0 % 	28,050
154 	Estonia 	1,306,788 	0 % 	42,390
155 	Mauritius 	1,268,315 	0 % 	2,030
156 	Cyprus 	1,189,085 	0 % 	9,240
157 	Djibouti 	971,408 	0 % 	23,180
158 	Fiji 	912,241 	0 % 	18,270
159 	Comoros 	832,347 	0 % 	1,861
160 	Bhutan 	817,054 	0 % 	38,117
161 	Guyana 	782,225 	0 % 	196,850
162 	Montenegro 	629,219 	0 % 	13,450
163 	Solomon Islands 	623,281 	0 % 	27,990
164 	Luxembourg 	590,321 	0 % 	2,590
165 	Suriname 	568,301 	0 % 	156,000
166 	Cabo Verde 	553,335 	0 % 	4,030
167 	Maldives 	444,259 	0 % 	300
168 	Brunei 	434,076 	0 % 	5,270
169 	Malta 	432,089 	0 % 	320
170 	Bahamas 	399,285 	0 % 	10,010
171 	Belize 	382,444 	0 % 	22,810
172 	Iceland 	337,780 	0 % 	100,250
173 	Barbados 	286,388 	0 % 	430
174 	Vanuatu 	282,117 	0 % 	12,190
175 	Sao Tome & Principe 	208,818 	0 % 	960
176 	Samoa 	197,695 	0 % 	2,830
177 	Saint Lucia 	179,667 	0 % 	610
178 	Kiribati 	118,414 	0 % 	810
179 	St. Vincent & Grenadines 	110,200 	0 % 	390
180 	Tonga 	109,008 	0 % 	720
181 	Grenada 	108,339 	0 % 	340
182 	Micronesia 	106,227 	0 % 	700
183 	Antigua and Barbuda 	103,050 	0 % 	440
184 	Seychelles 	95,235 	0 % 	460
185 	Andorra 	76,953 	0 % 	470
186 	Dominica 	74,308 	0 % 	750
187 	Saint Kitts & Nevis 	55,850 	0 % 	260
188 	Marshall Islands 	53,167 	0 % 	180
189 	Monaco 	38,897 	0 % 	1
190 	Liechtenstein 	38,155 	0 % 	160
191 	San Marino 	33,557 	0 % 	60
192 	Palau 	21,964 	0 % 	460
193 	Nauru 	11,312 	0 % 	20
194 	Tuvalu 	11,287 	0 % 	30
195 Holy See 801 0 % 0
